date,time,restaurant,discount_meal_price,Member
2023-11-30,,Azijska restavracija Han,5.14,Oskar
2023-12-01,,Restavracija Fresco,5.1,Oskar
2023-12-03,,Restavracija Fresco,5.1,Oskar
2023-12-04,,McDonald's restavracija - Cankarjeva,2.64,Oskar
2023-12-04,,RIKŠA CURRY & WOK,4.3,Oskar
2023-12-05,,RIKŠA CURRY & WOK,4.3,Oskar
2023-12-06,,McDonald's restavracija - Cankarjeva,2.64,Oskar
2023-12-07,,Pizzeria in oštarija Fugazi,5.14,Oskar
2023-12-08,,Restavracija Skriti kot,5.14,Oskar
2023-12-12,,Zbornica bar in žar,5.14,Oskar
2023-12-15,,McDonald's restavracija - Cankarjeva,2.64,Oskar
2023-12-16,,Pizzeria Šestinka,0.0,Oskar
2023-12-16,,Kozlovna Poštna,5.14,Oskar
2023-12-18,,Cantina QUE PASA,4.3,Oskar
2024-01-04,,Pizzeria Foculus,5.14,Oskar
2024-01-05,,"JOE PENA'S, mehiška restavracija",5.14,Oskar
2024-01-06,,Restavracija Fany & Mary,5.14,Oskar
2024-01-07,,Gostilnica in pivnica Kratochwill,5.14,Oskar
2024-01-13,,Hiša pod gradom,5.14,Oskar
2024-01-14,,Baščaršija Ljubljana Trubarjeva,4.3,Oskar
2024-01-16,,Bistro Slovely,4.14,Oskar
2024-01-17,,Pizzeria in oštarija Fugazi,5.14,Oskar
2024-01-18,,Bistro Slovely,4.14,Oskar
2024-01-18,,McDonald's restavracija - Cankarjeva,2.64,Oskar
2024-01-21,,Baščaršija Ljubljana Trubarjeva,4.3,Oskar
2024-01-26,,Restavracija Skriti kot,5.14,Oskar
2024-01-26,,KOA Bistro & bar,4.99,Oskar
2024-01-28,,ABI FALAFEL,5.14,Oskar
2024-01-29,,Gostilnica Meta in Bazilika,5.14,Oskar
2024-01-30,,Pizzeria Osmica,4.5,Oskar
2024-01-31,,Subway,3.0,Oskar
2024-02-02,,Hiša pod gradom,5.14,Oskar
2024-02-03,,Pelmenarna,4.14,Oskar
2024-02-04,,Restavracija Fany & Mary,5.14,Oskar
2024-02-05,,"DA BU DA, Azijska restavracija",5.14,Oskar
2024-02-05,,Cantina QUE PASA,4.3,Oskar
2024-02-06,,"DA BU DA, Azijska restavracija",5.14,Oskar
2024-02-07,,Pizzeria in oštarija Fugazi,5.14,Oskar
2024-02-08,,Norma 23,4.94,Oskar
2024-02-08,,RIKŠA CURRY & WOK,4.3,Oskar
2024-02-09,,Pelmenarna,4.14,Oskar
2024-02-09,,Cantina QUE PASA,4.3,Oskar
2024-02-15,21:15,Pizzeria in oštarija Fugazi,5.14,Tonda
2024-02-15,13:48,"DA BU DA, Azijska restavracija",5.14,Tonda
2024-02-13,19:07,McDonald's restavracija - Železniška,2.64,Tonda
2024-02-08,18:30,"JOE PENA ́S, mehiška restavracija",5.14,Tonda
2024-02-07,21:22,McDonald's restavracija - Cankarjeva,2.64,Tonda
2024-02-03,18:09,Pelmenarna,4.14,Tonda
2024-02-02,20:28,Pizzeria Šestinka,0.0,Tonda
2024-02-02,14:39,Šeherezada,3.0,Tonda
2024-02-01,12:55,Restavracija Plečnikov hram,4.3,Tonda
2024-01-31,13:16,McDonald's restavracija - Cankarjeva,2.64,Tonda
2024-01-30,19:48,Cantina QUE PASA,4.3,Tonda
2024-01-29,19:16,Burek Olimpija Rimska,0.64,Tonda
2024-01-28,13:24,BURGER TIME,5.14,Tonda
2024-01-27,15:09,Pizzeria Šestinka,0.0,Tonda
2024-01-26,11:21,KOA Bistro & bar,4.99,Tonda
2024-01-25,19:04,McDonald's restavracija - Cankarjeva,2.64,Tonda
2024-01-25,12:03,Pizzeria Šestinka,0.0,Tonda
2024-01-24,20:06,Pizzeria Šestinka,0.0,Tonda
2024-01-24,13:11,KOA Bistro & bar,4.99,Tonda
2024-01-23,20:20,Burek Olimpija Rimska,0.64,Tonda
2024-01-23,11:55,McDonald's restavracija - Cankarjeva,2.64,Tonda
2024-01-22,19:38,Šeherezada,3.0,Tonda
